$ /workspace/venvs/rwkv7-5090/bin/python bench/bench_logit_compression_alignment.py --dataset /workspace/datasets/math500/MATH500.jsonl --tokenizer-dir /workspace/models/rwkv7_g1g_15b_hf --candidate-kind hf --candidate-hf-dir /workspace/models/rwkv7_g1g_15b_hf --candidate-dtype fp16 --candidate-quantization none --candidate-quant-policy speed --candidate-quant-min-params 8000000 --reference-kind hf --limit 500 --max-tokens-per-text 1024 --device cuda --progress-every 25 --out-json /workspace/projects/rwkv7-hf-adapter-final-bench/bench/math500_final_acceptance_5090_1p5b_20260705/compression_alignment/compression_alignment.json --out-md /workspace/projects/rwkv7-hf-adapter-final-bench/bench/math500_final_acceptance_5090_1p5b_20260705/compression_alignment/compression_alignment.md --add-bos --reference-hf-dir /workspace/models/rwkv7_g1g_15b_hf --reference-dtype fp16 --reference-quantization none --reference-quant-policy speed --reference-quant-min-params 8000000
compression benchmark texts=500 device=cuda
`torch_dtype` is deprecated! Use `dtype` instead!
compression score hf:rwkv7_g1g_15b_hf:none texts=25/500 tokens=2717 bits_per_token=1.698152 elapsed_s=43.192
compression score hf:rwkv7_g1g_15b_hf:none texts=50/500 tokens=4276 bits_per_token=1.867337 elapsed_s=67.873
compression score hf:rwkv7_g1g_15b_hf:none texts=75/500 tokens=5849 bits_per_token=1.901413 elapsed_s=92.746
compression score hf:rwkv7_g1g_15b_hf:none texts=100/500 tokens=7844 bits_per_token=1.927106 elapsed_s=124.164
compression score hf:rwkv7_g1g_15b_hf:none texts=125/500 tokens=10381 bits_per_token=1.842470 elapsed_s=164.027
compression score hf:rwkv7_g1g_15b_hf:none texts=150/500 tokens=12043 bits_per_token=1.848035 elapsed_s=190.256
compression score hf:rwkv7_g1g_15b_hf:none texts=175/500 tokens=14957 bits_per_token=1.758004 elapsed_s=236.015
compression score hf:rwkv7_g1g_15b_hf:none texts=200/500 tokens=17249 bits_per_token=1.745040 elapsed_s=272.148
compression score hf:rwkv7_g1g_15b_hf:none texts=225/500 tokens=19948 bits_per_token=1.732553 elapsed_s=314.601
compression score hf:rwkv7_g1g_15b_hf:none texts=250/500 tokens=22033 bits_per_token=1.735640 elapsed_s=347.461
compression score hf:rwkv7_g1g_15b_hf:none texts=275/500 tokens=23981 bits_per_token=1.759268 elapsed_s=378.219
compression score hf:rwkv7_g1g_15b_hf:none texts=300/500 tokens=26572 bits_per_token=1.763039 elapsed_s=419.019
