phase	case	exit	started	ended	duration_s
albatross	0.1b	0	2026-07-21T01:09:20+08:00	2026-07-21T01:11:16+08:00	116
albatross	0.4b	0	2026-07-21T01:11:16+08:00	2026-07-21T01:11:39+08:00	23
albatross	1.5b	0	2026-07-21T01:11:39+08:00	2026-07-21T01:12:28+08:00	49
albatross	13.3b-g1g	0	2026-07-21T01:17:05+08:00	2026-07-21T01:19:31+08:00	146
albatross	13.3b-g1h	0	2026-07-21T01:19:31+08:00	2026-07-21T01:22:19+08:00	168
albatross	2.9b	0	2026-07-21T01:12:28+08:00	2026-07-21T01:13:54+08:00	86
albatross	7.2b	0	2026-07-21T01:13:54+08:00	2026-07-21T01:17:05+08:00	191
albatross	native_vs_albatross_gate	1	2026-07-21T02:22:48+08:00	2026-07-21T02:22:48+08:00	0
alignment	0.1b_compare	0	2026-07-21T06:33:18+08:00	2026-07-21T06:33:23+08:00	5
alignment	0.1b_native	0	2026-07-21T02:22:48+08:00	2026-07-21T02:23:02+08:00	14
alignment	0.1b_official	0	2026-07-21T02:23:02+08:00	2026-07-21T02:23:17+08:00	15
alignment	0.4b_compare	0	2026-07-21T06:33:23+08:00	2026-07-21T06:33:29+08:00	6
alignment	0.4b_native	0	2026-07-21T02:23:21+08:00	2026-07-21T02:23:37+08:00	16
alignment	0.4b_official	0	2026-07-21T02:23:37+08:00	2026-07-21T02:23:58+08:00	21
alignment	1.5b_compare	0	2026-07-21T06:33:29+08:00	2026-07-21T06:33:36+08:00	7
alignment	1.5b_native	0	2026-07-21T02:24:04+08:00	2026-07-21T02:24:23+08:00	19
alignment	1.5b_official	0	2026-07-21T02:24:23+08:00	2026-07-21T02:24:46+08:00	23
alignment	13.3b-g1g_compare	0	2026-07-21T06:33:56+08:00	2026-07-21T06:34:00+08:00	4
alignment	13.3b-g1g_native	0	2026-07-21T02:27:20+08:00	2026-07-21T02:27:57+08:00	37
alignment	13.3b-g1g_official	0	2026-07-21T02:27:57+08:00	2026-07-21T02:28:43+08:00	46
alignment	13.3b-g1h_compare	0	2026-07-21T06:34:00+08:00	2026-07-21T06:34:04+08:00	4
alignment	13.3b-g1h_native	0	2026-07-21T02:28:46+08:00	2026-07-21T02:29:24+08:00	38
alignment	13.3b-g1h_official	0	2026-07-21T02:29:24+08:00	2026-07-21T02:30:08+08:00	44
alignment	2.9b_compare	0	2026-07-21T06:33:36+08:00	2026-07-21T06:33:45+08:00	9
alignment	2.9b_native	0	2026-07-21T02:24:54+08:00	2026-07-21T02:25:18+08:00	24
alignment	2.9b_official	0	2026-07-21T02:25:18+08:00	2026-07-21T02:25:44+08:00	26
alignment	7.2b_compare	0	2026-07-21T06:33:45+08:00	2026-07-21T06:33:56+08:00	11
alignment	7.2b_native	0	2026-07-21T02:25:53+08:00	2026-07-21T02:26:29+08:00	36
alignment	7.2b_official	0	2026-07-21T02:26:29+08:00	2026-07-21T02:27:08+08:00	39
dense	0.1b_decode_alignment	0	2026-07-21T00:00:38+08:00	2026-07-21T00:00:58+08:00	20
dense	0.1b_fixed_decode	0	2026-07-21T00:53:20+08:00	2026-07-21T00:54:51+08:00	91
dense	0.1b_p128_d128	0	2026-07-20T23:52:12+08:00	2026-07-20T23:52:31+08:00	19
dense	0.1b_p2048_d128	0	2026-07-20T23:52:50+08:00	2026-07-20T23:53:12+08:00	22
